rank,prev_rank,name,league,off,def,spi
564,569,New Mexico United,United Soccer League,0.77,2.16,18.33
565,589,Kalmar FF,Swedish Allsvenskan,0.62,1.89,18.17
566,568,Highlands Park FC,South African ABSA Premier League,0.54,1.76,18.15
567,570,Accrington Stanley,English League One,0.66,1.98,17.99
568,554,El Paso Locomotive FC,United Soccer League,0.62,1.92,17.95
569,,IK Start,Norwegian Tippeligaen,0.64,1.97,17.88
570,,San Diego Loyal SC,United Soccer League,0.68,2.06,17.63
571,571,Matsumoto Yamaga FC,Japanese J League,0.39,1.53,17.45
572,561,Juve Stabia,Italy Serie B,0.58,1.9,17.3
573,,Sandefjord,Norwegian Tippeligaen,0.62,1.98,17.15
574,564,Wycombe Wanderers,English League One,0.57,1.9,17.06
575,565,Trapani,Italy Serie B,0.6,1.96,17.05
576,576,Golden Arrows,South African ABSA Premier League,0.44,1.67,16.76
577,574,Cheltenham Town,English League Two,0.56,1.91,16.71
578,572,Central Coast Mariners,Australian A-League,0.78,2.32,16.69
579,577,Northampton Town,English League Two,0.62,2.05,16.47
580,588,Charlotte Independence,United Soccer League,0.65,2.12,16.26
581,581,AFC Wimbledon,English League One,0.55,1.98,15.57
582,610,Birmingham Legion FC,United Soccer League,0.61,2.12,15.43
583,573,Charleston Battery,United Soccer League,0.56,2.04,15.31
584,583,Bristol Rovers,English League One,0.51,1.95,15.27
585,580,Shrewsbury Town,English League One,0.43,1.79,15.21
586,584,Exeter City,English League Two,0.51,1.97,14.95
587,598,Falkenbergs FF,Swedish Allsvenskan,0.59,2.14,14.7
588,586,Chippa United,South African ABSA Premier League,0.31,1.57,14.67
589,582,Colchester United,English League Two,0.47,1.92,14.6
590,585,Polokwane City FC,South African ABSA Premier League,0.42,1.84,14.45
591,597,Rochdale,English League One,0.57,2.17,13.95
592,592,Salford City,English League Two,0.54,2.13,13.86
593,599,Black Leopards,South African ABSA Premier League,0.48,2.03,13.79
594,600,AmaZulu,South African ABSA Premier League,0.31,1.69,13.46
595,594,Stellenbosch FC,South African ABSA Premier League,0.41,1.9,13.44
596,,Varbergs BoIS FC,Swedish Allsvenskan,0.47,2.04,13.37
597,549,LA Galaxy II,United Soccer League,0.61,2.33,13.28
598,617,Memphis 901 FC,United Soccer League,0.51,2.14,13.27
599,499,New York Red Bulls II,United Soccer League,0.62,2.37,13.13
600,593,Scunthorpe,English League Two,0.58,2.3,13.01
601,587,Bradford City,English League Two,0.4,1.93,12.92
602,601,Baroka FC,South African ABSA Premier League,0.23,1.6,12.56
603,578,Loudoun United FC,United Soccer League,0.6,2.48,11.82
604,604,Mansfield Town,English League Two,0.59,2.46,11.8
605,605,Hartford Athletic,United Soccer League,0.62,2.53,11.76
606,606,Crawley Town,English League Two,0.53,2.34,11.73
607,626,Colorado Springs Switchbacks FC,United Soccer League,0.47,2.23,11.67
608,619,Tulsa Roughnecks,United Soccer League,0.53,2.37,11.49
609,607,Southend United,English League One,0.65,2.63,11.43
610,615,Tacoma Defiance,United Soccer League,0.54,2.47,10.76
611,603,Las Vegas Lights FC,United Soccer League,0.46,2.32,10.62
612,602,Tranmere Rovers,English League One,0.42,2.24,10.56
613,618,Oldham Athletic,English League Two,0.41,2.21,10.55
614,608,Forest Green Rovers,English League Two,0.36,2.14,10.36
615,612,Bolton,English League One,0.46,2.39,10.12
616,621,Leyton Orient,English League Two,0.4,2.36,9.25
617,613,Newport County,English League Two,0.2,1.87,9.21
618,596,Rio Grande Valley FC Toros,United Soccer League,0.37,2.3,9.2
619,616,Port Vale,English League Two,0.28,2.13,8.88
620,620,Carlisle United,English League Two,0.33,2.38,8.09
621,614,Atlanta United 2,United Soccer League,0.42,2.6,8.0
622,609,Swope Park Rangers,United Soccer League,0.39,2.63,7.41
623,624,Macclesfield,English League Two,0.2,2.13,7.35
624,623,Grimsby Town,English League Two,0.2,2.15,7.34
625,611,Bethlehem Steel FC,United Soccer League,0.4,2.69,7.22
626,622,Stevenage,English League Two,0.2,2.17,7.09
627,625,Walsall,English League Two,0.24,2.3,6.95
628,627,Cambridge United,English League Two,0.2,2.43,5.69
629,628,Morecambe,English League Two,0.2,2.47,5.51
